method,fraction,condition,ews,mean_tau,mean_nonseq,mean_seq,mean_lead,n_nets
halfb,0.9,DW $D$ asc,CV,0.8482,0.975,0.975,0.4289,40
halfb,0.9,DW $D$ asc,Vdelta,0.8795,0.95,0.95,0.4332,40
halfb,0.9,DW $D$ asc,Vrel,0.881,0.95,0.95,0.4295,40
halfb,0.9,DW $D$ asc,CVrel,0.8564,0.9,0.9,0.3308,40
halfb,1.0,DW $D$ asc,V,0.8857,1.0,1.0,0.4716,40
halfb,1.0,DW $D$ asc,CV,0.8589,0.975,0.975,0.4193,40
halfb,1.0,DW $D$ asc,Vdelta,0.8851,0.95,0.95,0.4207,40
halfb,1.0,DW $D$ asc,Vrel,0.8859,0.95,0.95,0.4178,40
halfb,1.0,DW $D$ asc,CVrel,0.8611,0.925,0.925,0.3146,40
equidist,0.05,DW $D$ asc,V,0.437,0.475,0.475,0.3321,40
equidist,0.05,DW $D$ asc,CV,0.4119,0.4,0.4,0.193,40
equidist,0.05,DW $D$ asc,Vdelta,0.4718,0.425,0.45,0.3178,40
equidist,0.05,DW $D$ asc,Vrel,0.476,0.4,0.45,0.3243,40
equidist,0.05,DW $D$ asc,CVrel,0.4488,0.325,0.325,0.2593,40
equidist,0.1,DW $D$ asc,V,0.5549,0.675,0.575,0.3653,40
equidist,0.1,DW $D$ asc,CV,0.523,0.55,0.4,0.2906,40
equidist,0.1,DW $D$ asc,Vdelta,0.5777,0.6,0.475,0.3321,40
equidist,0.1,DW $D$ asc,Vrel,0.582,0.55,0.475,0.3325,40
equidist,0.1,DW $D$ asc,CVrel,0.5482,0.45,0.35,0.2496,40
equidist,0.2,DW $D$ asc,V,0.6907,0.775,0.75,0.3832,40
equidist,0.2,DW $D$ asc,CV,0.6577,0.7,0.675,0.3151,40
equidist,0.2,DW $D$ asc,Vdelta,0.7019,0.7,0.7,0.3568,40
equidist,0.2,DW $D$ asc,Vrel,0.7039,0.7,0.725,0.3546,40
equidist,0.2,DW $D$ asc,CVrel,0.6735,0.575,0.525,0.26,40
equidist,0.3,DW $D$ asc,V,0.7705,0.925,0.85,0.4257,40
equidist,0.3,DW $D$ asc,CV,0.7392,0.85,0.85,0.3183,40
equidist,0.3,DW $D$ asc,Vdelta,0.776,0.85,0.85,0.4035,40
equidist,0.3,DW $D$ asc,Vrel,0.7779,0.85,0.85,0.4002,40
equidist,0.3,DW $D$ asc,CVrel,0.7492,0.75,0.775,0.3049,40
