method,fraction,condition,ews,mean_tau,mean_nonseq,mean_seq,mean_lead,n_nets
largecv,0.7,MUT $u$ desc,V,0.9946,1.0,1.0,0.8119,40
largecv,0.7,MUT $u$ desc,CV,0.996,1.0,1.0,0.8144,40
largecv,0.7,MUT $u$ desc,Vdelta,0.9919,1.0,1.0,0.8262,40
largecv,0.7,MUT $u$ desc,Vrel,0.9919,1.0,1.0,0.827,40
largecv,0.7,MUT $u$ desc,CVrel,0.9932,1.0,1.0,0.7217,40
largecv,0.8,MUT $u$ desc,V,0.9954,1.0,1.0,0.813,40
largecv,0.8,MUT $u$ desc,CV,0.9965,1.0,1.0,0.8149,40
largecv,0.8,MUT $u$ desc,Vdelta,0.9925,1.0,1.0,0.8296,40
largecv,0.8,MUT $u$ desc,Vrel,0.9924,1.0,1.0,0.8296,40
largecv,0.8,MUT $u$ desc,CVrel,0.9939,1.0,1.0,0.7293,40
largecv,0.9,MUT $u$ desc,V,0.9957,1.0,1.0,0.8187,40
largecv,0.9,MUT $u$ desc,CV,0.9967,1.0,1.0,0.8207,40
largecv,0.9,MUT $u$ desc,Vdelta,0.9926,1.0,1.0,0.8296,40
largecv,0.9,MUT $u$ desc,Vrel,0.9926,1.0,1.0,0.8296,40
largecv,0.9,MUT $u$ desc,CVrel,0.9939,1.0,1.0,0.7049,40
largecv,1.0,MUT $u$ desc,V,0.996,1.0,1.0,0.826,40
largecv,1.0,MUT $u$ desc,CV,0.9969,1.0,1.0,0.8272,40
largecv,1.0,MUT $u$ desc,Vdelta,0.993,1.0,1.0,0.8296,40
largecv,1.0,MUT $u$ desc,Vrel,0.9931,1.0,1.0,0.8296,40
largecv,1.0,MUT $u$ desc,CVrel,0.9944,1.0,1.0,0.706,40
random,0.05,GR $D$ desc,V,-0.9361,0.01,0.015,0.7351,40
random,0.05,GR $D$ desc,CV,0.099,0.51,0.535,0.6596,40
random,0.05,GR $D$ desc,Vdelta,0.9678,0.975,0.97,0.8166,40
random,0.05,GR $D$ desc,Vrel,0.9124,0.79,0.975,0.7977,40
random,0.05,GR $D$ desc,CVrel,0.9759,0.96,0.995,0.6602,40
random,0.1,GR $D$ desc,V,-0.9699,0.015,0.0,,40
random,0.1,GR $D$ desc,CV,0.1158,0.475,0.53,0.6545,40
random,0.1,GR $D$ desc,Vdelta,0.9723,0.975,0.98,0.7965,40
random,0.1,GR $D$ desc,Vrel,0.9091,0.71,0.975,0.8105,40
random,0.1,GR $D$ desc,CVrel,0.984,0.97,1.0,0.6761,40
random,0.2,GR $D$ desc,V,-0.9712,0.005,0.0,,40
random,0.2,GR $D$ desc,CV,-0.0091,0.455,0.485,0.5971,40
random,0.2,GR $D$ desc,Vdelta,0.9745,0.995,0.98,0.7965,40
random,0.2,GR $D$ desc,Vrel,0.9284,0.78,0.975,0.8137,40
random,0.2,GR $D$ desc,CVrel,0.9884,0.975,1.0,0.6748,40
random,0.3,GR $D$ desc,V,-0.9702,0.015,0.005,0.0119,40
random,0.3,GR $D$ desc,CV,-0.0615,0.435,0.44,0.6912,40
random,0.3,GR $D$ desc,Vdelta,0.9758,1.0,0.975,0.8166,40
random,0.3,GR $D$ desc,Vrel,0.9206,0.765,0.98,0.7956,40
random,0.3,GR $D$ desc,CVrel,0.9897,0.985,0.995,0.677,40
random,0.4,GR $D$ desc,V,-0.9706,0.015,0.01,0.0119,40
random,0.4,GR $D$ desc,CV,-0.0458,0.435,0.455,0.6611,40
random,0.4,GR $D$ desc,Vdelta,0.9754,1.0,0.99,0.7965,40
random,0.4,GR $D$ desc,Vrel,0.9168,0.745,0.975,0.8164,40
random,0.4,GR $D$ desc,CVrel,0.9912,0.985,1.0,0.678,40
random,0.5,GR $D$ desc,V,-0.9709,0.01,0.01,0.0119,40
random,0.5,GR $D$ desc,CV,-0.0835,0.42,0.42,0.6973,40
random,0.5,GR $D$ desc,Vdelta,0.9759,1.0,0.995,0.7965,40
random,0.5,GR $D$ desc,Vrel,0.9235,0.78,0.98,0.7961,40
random,0.5,GR $D$ desc,CVrel,0.9916,0.985,1.0,0.6765,40
random,0.6,GR $D$ desc,V,-0.9706,0.02,0.02,0.0119,40
random,0.6,GR $D$ desc,CV,-0.0828,0.435,0.435,0.7188,40
random,0.6,GR $D$ desc,Vdelta,0.9761,1.0,0.995,0.7965,40
random,0.6,GR $D$ desc,Vrel,0.9215,0.775,0.98,0.7964,40
random,0.6,GR $D$ desc,CVrel,0.9918,0.97,1.0,0.6796,40
random,0.7,GR $D$ desc,V,-0.9716,0.02,0.02,0.0119,40
random,0.7,GR $D$ desc,CV,-0.1079,0.41,0.41,0.7072,40
random,0.7,GR $D$ desc,Vdelta,0.9758,1.0,1.0,0.7965,40
random,0.7,GR $D$ desc,Vrel,0.9167,0.73,0.98,0.7965,40
random,0.7,GR $D$ desc,CVrel,0.9924,0.965,1.0,0.6798,40
random,0.8,GR $D$ desc,V,-0.9709,0.015,0.015,0.0119,40
random,0.8,GR $D$ desc,CV,-0.1038,0.415,0.415,0.716,40
random,0.8,GR $D$ desc,Vdelta,0.9759,1.0,1.0,0.7965,40
random,0.8,GR $D$ desc,Vrel,0.92,0.775,0.98,0.7961,40
random,0.8,GR $D$ desc,CVrel,0.9926,0.965,1.0,0.679,40
random,0.9,GR $D$ desc,V,-0.9707,0.01,0.01,0.0119,40
random,0.9,GR $D$ desc,CV,-0.1152,0.405,0.405,0.7309,40
random,0.9,GR $D$ desc,Vdelta,0.9763,1.0,1.0,0.7965,40
random,0.9,GR $D$ desc,Vrel,0.9186,0.745,0.98,0.7965,40
random,0.9,GR $D$ desc,CVrel,0.9929,0.975,1.0,0.6795,40
random,1.0,GR $D$ desc,V,-0.9706,0.025,0.025,0.0119,40
random,1.0,GR $D$ desc,CV,-0.1202,0.4,0.4,0.7663,40
random,1.0,GR $D$ desc,Vdelta,0.9765,1.0,1.0,0.7965,40
random,1.0,GR $D$ desc,Vrel,0.9194,0.725,0.975,0.8166,40
random,1.0,GR $D$ desc,CVrel,0.9932,0.95,1.0,0.6813,40
largeb,0.05,GR $D$ desc,V,-0.9271,0.025,0.025,0.3222,40
largeb,0.05,GR $D$ desc,CV,-0.2447,0.3,0.35,0.659,40
largeb,0.05,GR $D$ desc,Vdelta,0.9663,0.975,0.975,0.8026,40
largeb,0.05,GR $D$ desc,Vrel,0.911,0.775,0.975,0.7973,40
largeb,0.05,GR $D$ desc,CVrel,0.9785,1.0,1.0,0.6539,40
largeb,0.1,GR $D$ desc,V,-0.9253,0.025,0.025,0.5556,40
largeb,0.1,GR $D$ desc,CV,-0.2561,0.325,0.35,0.5732,40
largeb,0.1,GR $D$ desc,Vdelta,0.9716,0.975,0.975,0.8115,40
largeb,0.1,GR $D$ desc,Vrel,0.9262,0.75,0.975,0.8109,40
largeb,0.1,GR $D$ desc,CVrel,0.9847,1.0,1.0,0.6547,40
largeb,0.2,GR $D$ desc,V,-0.973,0.025,0.0,,40
largeb,0.2,GR $D$ desc,CV,-0.2125,0.35,0.4,0.6039,40
largeb,0.2,GR $D$ desc,Vdelta,0.9731,1.0,0.975,0.8166,40
largeb,0.2,GR $D$ desc,Vrel,0.9337,0.775,0.975,0.8157,40
largeb,0.2,GR $D$ desc,CVrel,0.988,1.0,1.0,0.6623,40
largeb,0.3,GR $D$ desc,V,-0.9726,0.0,0.0,,40
largeb,0.3,GR $D$ desc,CV,-0.2758,0.375,0.375,0.509,40
largeb,0.3,GR $D$ desc,Vdelta,0.9738,1.0,0.975,0.8166,40
largeb,0.3,GR $D$ desc,Vrel,0.9341,0.825,0.975,0.8155,40
largeb,0.3,GR $D$ desc,CVrel,0.9903,1.0,1.0,0.6667,40
largeb,0.4,GR $D$ desc,V,-0.9725,0.0,0.0,,40
largeb,0.4,GR $D$ desc,CV,-0.2433,0.35,0.35,0.6077,40
largeb,0.4,GR $D$ desc,Vdelta,0.9733,0.975,0.975,0.8166,40
largeb,0.4,GR $D$ desc,Vrel,0.9414,0.825,0.975,0.8152,40
largeb,0.4,GR $D$ desc,CVrel,0.9906,1.0,1.0,0.6663,40
largeb,0.5,GR $D$ desc,V,-0.9722,0.0,0.0,,40
largeb,0.5,GR $D$ desc,CV,-0.2419,0.35,0.35,0.6384,40
largeb,0.5,GR $D$ desc,Vdelta,0.9742,0.975,0.975,0.8166,40
largeb,0.5,GR $D$ desc,Vrel,0.9432,0.825,0.975,0.8149,40
largeb,0.5,GR $D$ desc,CVrel,0.9919,1.0,1.0,0.6663,40
largeb,0.6,GR $D$ desc,V,-0.9715,0.0,0.0,,40
largeb,0.6,GR $D$ desc,CV,-0.2599,0.325,0.325,0.6854,40
largeb,0.6,GR $D$ desc,Vdelta,0.9759,1.0,1.0,0.7965,40
largeb,0.6,GR $D$ desc,Vrel,0.9486,0.8,0.975,0.8152,40
largeb,0.6,GR $D$ desc,CVrel,0.9922,1.0,1.0,0.6656,40
largeb,0.7,GR $D$ desc,V,-0.9705,0.025,0.025,0.0119,40
largeb,0.7,GR $D$ desc,CV,-0.2047,0.4,0.4,0.5844,40
largeb,0.7,GR $D$ desc,Vdelta,0.9775,1.0,1.0,0.7965,40
largeb,0.7,GR $D$ desc,Vrel,0.9537,0.825,1.0,0.7959,40
largeb,0.7,GR $D$ desc,CVrel,0.9927,1.0,1.0,0.67,40
largeb,0.8,GR $D$ desc,V,-0.9712,0.025,0.025,0.0119,40
largeb,0.8,GR $D$ desc,CV,-0.1779,0.425,0.425,0.6159,40
largeb,0.8,GR $D$ desc,Vdelta,0.9775,1.0,1.0,0.7965,40
largeb,0.8,GR $D$ desc,Vrel,0.9449,0.825,1.0,0.7965,40
largeb,0.8,GR $D$ desc,CVrel,0.9931,1.0,1.0,0.6687,40
largeb,0.9,GR $D$ desc,V,-0.9712,0.025,0.025,0.0119,40
largeb,0.9,GR $D$ desc,CV,-0.1602,0.4,0.4,0.7362,40
largeb,0.9,GR $D$ desc,Vdelta,0.9762,1.0,1.0,0.7965,40
largeb,0.9,GR $D$ desc,Vrel,0.9301,0.825,1.0,0.7956,40
largeb,0.9,GR $D$ desc,CVrel,0.9929,0.975,1.0,0.6717,40
largeb,1.0,GR $D$ desc,V,-0.9706,0.025,0.025,0.0119,40
largeb,1.0,GR $D$ desc,CV,-0.1202,0.4,0.4,0.7663,40
largeb,1.0,GR $D$ desc,Vdelta,0.9765,1.0,1.0,0.7965,40
largeb,1.0,GR $D$ desc,Vrel,0.9194,0.725,0.975,0.8166,40
largeb,1.0,GR $D$ desc,CVrel,0.9932,0.95,1.0,0.6813,40
smallb,0.05,GR $D$ desc,V,0.0533,0.2,0.525,0.7318,40
smallb,0.05,GR $D$ desc,CV,0.7136,0.825,0.85,0.7102,40
smallb,0.05,GR $D$ desc,Vdelta,0.8543,0.675,0.975,0.8006,40
smallb,0.05,GR $D$ desc,Vrel,0.7672,0.425,0.975,0.8019,40
smallb,0.05,GR $D$ desc,CVrel,0.9748,0.975,1.0,0.6831,40
smallb,0.1,GR $D$ desc,V,-0.0498,0.175,0.475,0.7294,40
smallb,0.1,GR $D$ desc,CV,0.7284,0.825,0.825,0.7164,40
smallb,0.1,GR $D$ desc,Vdelta,0.8887,0.8,0.975,0.809,40
smallb,0.1,GR $D$ desc,Vrel,0.8162,0.525,0.975,0.8068,40
smallb,0.1,GR $D$ desc,CVrel,0.9824,0.975,1.0,0.6895,40
smallb,0.2,GR $D$ desc,V,-0.2076,0.275,0.4,0.7386,40
smallb,0.2,GR $D$ desc,CV,0.7215,0.8,0.85,0.7413,40
smallb,0.2,GR $D$ desc,Vdelta,0.9436,0.875,1.0,0.7948,40
smallb,0.2,GR $D$ desc,Vrel,0.8847,0.65,1.0,0.7902,40
smallb,0.2,GR $D$ desc,CVrel,0.9883,0.95,1.0,0.6945,40
smallb,0.3,GR $D$ desc,V,-0.3721,0.25,0.325,0.7287,40
smallb,0.3,GR $D$ desc,CV,0.7205,0.85,0.875,0.712,40
smallb,0.3,GR $D$ desc,Vdelta,0.9611,0.925,0.975,0.8166,40
smallb,0.3,GR $D$ desc,Vrel,0.9032,0.7,0.975,0.816,40
smallb,0.3,GR $D$ desc,CVrel,0.9901,0.95,1.0,0.6914,40
smallb,0.4,GR $D$ desc,V,-0.5416,0.175,0.2,0.8184,40
smallb,0.4,GR $D$ desc,CV,0.6857,0.8,0.825,0.7012,40
smallb,0.4,GR $D$ desc,Vdelta,0.9634,0.975,0.975,0.8166,40
smallb,0.4,GR $D$ desc,Vrel,0.9094,0.75,0.975,0.8166,40
smallb,0.4,GR $D$ desc,CVrel,0.9909,0.95,1.0,0.7017,40
smallb,0.5,GR $D$ desc,V,-0.6455,0.15,0.175,0.7064,40
smallb,0.5,GR $D$ desc,CV,0.6592,0.775,0.775,0.7175,40
smallb,0.5,GR $D$ desc,Vdelta,0.9634,0.975,1.0,0.7965,40
smallb,0.5,GR $D$ desc,Vrel,0.9154,0.75,1.0,0.7965,40
smallb,0.5,GR $D$ desc,CVrel,0.9917,0.95,1.0,0.6888,40
smallb,0.6,GR $D$ desc,V,-0.8354,0.075,0.075,0.5497,40
smallb,0.6,GR $D$ desc,CV,0.6296,0.825,0.825,0.6033,40
smallb,0.6,GR $D$ desc,Vdelta,0.9741,1.0,1.0,0.7965,40
smallb,0.6,GR $D$ desc,Vrel,0.9174,0.75,1.0,0.7965,40
smallb,0.6,GR $D$ desc,CVrel,0.9927,0.95,1.0,0.6868,40
smallb,0.7,GR $D$ desc,V,-0.8978,0.05,0.05,0.406,40
smallb,0.7,GR $D$ desc,CV,0.7003,0.825,0.825,0.6964,40
smallb,0.7,GR $D$ desc,Vdelta,0.9762,1.0,1.0,0.7965,40
smallb,0.7,GR $D$ desc,Vrel,0.9196,0.75,1.0,0.7962,40
smallb,0.7,GR $D$ desc,CVrel,0.9927,0.95,1.0,0.6855,40
smallb,0.8,GR $D$ desc,V,-0.9548,0.025,0.025,0.0119,40
smallb,0.8,GR $D$ desc,CV,0.6431,0.75,0.75,0.7305,40
smallb,0.8,GR $D$ desc,Vdelta,0.9765,1.0,1.0,0.7965,40
smallb,0.8,GR $D$ desc,Vrel,0.9206,0.75,1.0,0.7965,40
smallb,0.8,GR $D$ desc,CVrel,0.993,0.95,1.0,0.6842,40
smallb,0.9,GR $D$ desc,V,-0.9647,0.025,0.025,0.0119,40
smallb,0.9,GR $D$ desc,CV,0.4687,0.65,0.675,0.7127,40
smallb,0.9,GR $D$ desc,Vdelta,0.9773,1.0,1.0,0.7965,40
smallb,0.9,GR $D$ desc,Vrel,0.9206,0.75,1.0,0.7965,40
smallb,0.9,GR $D$ desc,CVrel,0.9934,0.95,1.0,0.6821,40
smallb,1.0,GR $D$ desc,V,-0.9706,0.025,0.025,0.0119,40
smallb,1.0,GR $D$ desc,CV,-0.1202,0.4,0.4,0.7663,40
smallb,1.0,GR $D$ desc,Vdelta,0.9765,1.0,1.0,0.7965,40
smallb,1.0,GR $D$ desc,Vrel,0.9194,0.725,0.975,0.8166,40
smallb,1.0,GR $D$ desc,CVrel,0.9932,0.95,1.0,0.6813,40
dirb,0.05,GR $D$ desc,V,0.0533,0.2,0.525,0.7318,40
dirb,0.05,GR $D$ desc,CV,0.7136,0.825,0.85,0.7102,40
dirb,0.05,GR $D$ desc,Vdelta,0.8543,0.675,0.975,0.8006,40
dirb,0.05,GR $D$ desc,Vrel,0.7672,0.425,0.975,0.8019,40
dirb,0.05,GR $D$ desc,CVrel,0.9748,0.975,1.0,0.6831,40
dirb,0.1,GR $D$ desc,V,-0.0498,0.175,0.475,0.7294,40
dirb,0.1,GR $D$ desc,CV,0.7284,0.825,0.825,0.7164,40
dirb,0.1,GR $D$ desc,Vdelta,0.8887,0.8,0.975,0.809,40
dirb,0.1,GR $D$ desc,Vrel,0.8162,0.525,0.975,0.8068,40
dirb,0.1,GR $D$ desc,CVrel,0.9824,0.975,1.0,0.6895,40
dirb,0.2,GR $D$ desc,V,-0.2076,0.275,0.4,0.7386,40
dirb,0.2,GR $D$ desc,CV,0.7215,0.8,0.85,0.7413,40
dirb,0.2,GR $D$ desc,Vdelta,0.9436,0.875,1.0,0.7948,40
dirb,0.2,GR $D$ desc,Vrel,0.8847,0.65,1.0,0.7902,40
dirb,0.2,GR $D$ desc,CVrel,0.9883,0.95,1.0,0.6945,40
dirb,0.3,GR $D$ desc,V,-0.3721,0.25,0.325,0.7287,40
dirb,0.3,GR $D$ desc,CV,0.7205,0.85,0.875,0.712,40
dirb,0.3,GR $D$ desc,Vdelta,0.9611,0.925,0.975,0.8166,40
dirb,0.3,GR $D$ desc,Vrel,0.9032,0.7,0.975,0.816,40
dirb,0.3,GR $D$ desc,CVrel,0.9901,0.95,1.0,0.6914,40
dirb,0.4,GR $D$ desc,V,-0.5416,0.175,0.2,0.8184,40
dirb,0.4,GR $D$ desc,CV,0.6857,0.8,0.825,0.7012,40
dirb,0.4,GR $D$ desc,Vdelta,0.9634,0.975,0.975,0.8166,40
dirb,0.4,GR $D$ desc,Vrel,0.9094,0.75,0.975,0.8166,40
dirb,0.4,GR $D$ desc,CVrel,0.9909,0.95,1.0,0.7017,40
dirb,0.5,GR $D$ desc,V,-0.6455,0.15,0.175,0.7064,40
dirb,0.5,GR $D$ desc,CV,0.6592,0.775,0.775,0.7175,40
dirb,0.5,GR $D$ desc,Vdelta,0.9634,0.975,1.0,0.7965,40
dirb,0.5,GR $D$ desc,Vrel,0.9154,0.75,1.0,0.7965,40
dirb,0.5,GR $D$ desc,CVrel,0.9917,0.95,1.0,0.6888,40
dirb,0.6,GR $D$ desc,V,-0.8354,0.075,0.075,0.5497,40
dirb,0.6,GR $D$ desc,CV,0.6296,0.825,0.825,0.6033,40
dirb,0.6,GR $D$ desc,Vdelta,0.9741,1.0,1.0,0.7965,40
dirb,0.6,GR $D$ desc,Vrel,0.9174,0.75,1.0,0.7965,40
dirb,0.6,GR $D$ desc,CVrel,0.9927,0.95,1.0,0.6868,40
dirb,0.7,GR $D$ desc,V,-0.8978,0.05,0.05,0.406,40
dirb,0.7,GR $D$ desc,CV,0.7003,0.825,0.825,0.6964,40
dirb,0.7,GR $D$ desc,Vdelta,0.9762,1.0,1.0,0.7965,40
dirb,0.7,GR $D$ desc,Vrel,0.9196,0.75,1.0,0.7962,40
dirb,0.7,GR $D$ desc,CVrel,0.9927,0.95,1.0,0.6855,40
dirb,0.8,GR $D$ desc,V,-0.9548,0.025,0.025,0.0119,40
dirb,0.8,GR $D$ desc,CV,0.6431,0.75,0.75,0.7305,40
dirb,0.8,GR $D$ desc,Vdelta,0.9765,1.0,1.0,0.7965,40
dirb,0.8,GR $D$ desc,Vrel,0.9206,0.75,1.0,0.7965,40
dirb,0.8,GR $D$ desc,CVrel,0.993,0.95,1.0,0.6842,40
dirb,0.9,GR $D$ desc,V,-0.9647,0.025,0.025,0.0119,40
dirb,0.9,GR $D$ desc,CV,0.4687,0.65,0.675,0.7127,40
dirb,0.9,GR $D$ desc,Vdelta,0.9773,1.0,1.0,0.7965,40
dirb,0.9,GR $D$ desc,Vrel,0.9206,0.75,1.0,0.7965,40
dirb,0.9,GR $D$ desc,CVrel,0.9934,0.95,1.0,0.6821,40
dirb,1.0,GR $D$ desc,V,-0.9706,0.025,0.025,0.0119,40
dirb,1.0,GR $D$ desc,CV,-0.1202,0.4,0.4,0.7663,40
dirb,1.0,GR $D$ desc,Vdelta,0.9765,1.0,1.0,0.7965,40
dirb,1.0,GR $D$ desc,Vrel,0.9194,0.725,0.975,0.8166,40
dirb,1.0,GR $D$ desc,CVrel,0.9932,0.95,1.0,0.6813,40
halfb,0.05,GR $D$ desc,V,-0.9709,0.0,0.0,,40
halfb,0.05,GR $D$ desc,CV,0.6704,0.8,0.825,0.71,40
halfb,0.05,GR $D$ desc,Vdelta,0.972,0.975,0.975,0.8166,40
halfb,0.05,GR $D$ desc,Vrel,0.8195,0.55,0.975,0.8101,40
halfb,0.05,GR $D$ desc,CVrel,0.9766,0.975,1.0,0.6863,40
halfb,0.1,GR $D$ desc,V,-0.9723,0.0,0.0,,40
halfb,0.1,GR $D$ desc,CV,0.5629,0.75,0.75,0.7408,40
halfb,0.1,GR $D$ desc,Vdelta,0.973,1.0,0.975,0.8166,40
halfb,0.1,GR $D$ desc,Vrel,0.8431,0.55,0.975,0.8146,40
halfb,0.1,GR $D$ desc,CVrel,0.9838,0.975,1.0,0.6905,40
halfb,0.2,GR $D$ desc,V,-0.9738,0.0,0.0,,40
halfb,0.2,GR $D$ desc,CV,0.323,0.6,0.625,0.7158,40
halfb,0.2,GR $D$ desc,Vdelta,0.973,1.0,0.975,0.8166,40
halfb,0.2,GR $D$ desc,Vrel,0.8762,0.575,0.975,0.8136,40
halfb,0.2,GR $D$ desc,CVrel,0.9862,0.95,1.0,0.6915,40
halfb,0.3,GR $D$ desc,V,-0.9716,0.0,0.0,,40
halfb,0.3,GR $D$ desc,CV,0.2296,0.55,0.6,0.6401,40
halfb,0.3,GR $D$ desc,Vdelta,0.9739,1.0,0.975,0.8166,40
halfb,0.3,GR $D$ desc,Vrel,0.8847,0.65,0.975,0.8139,40
halfb,0.3,GR $D$ desc,CVrel,0.9878,0.95,1.0,0.6859,40
halfb,0.4,GR $D$ desc,V,-0.972,0.0,0.0,,40
halfb,0.4,GR $D$ desc,CV,0.0308,0.5,0.525,0.6393,40
halfb,0.4,GR $D$ desc,Vdelta,0.974,1.0,1.0,0.7965,40
halfb,0.4,GR $D$ desc,Vrel,0.8919,0.65,0.975,0.8166,40
halfb,0.4,GR $D$ desc,CVrel,0.9897,0.95,1.0,0.6853,40
halfb,0.5,GR $D$ desc,V,-0.972,0.0,0.0,,40
halfb,0.5,GR $D$ desc,CV,-0.0284,0.475,0.475,0.665,40
halfb,0.5,GR $D$ desc,Vdelta,0.9736,1.0,1.0,0.7965,40
halfb,0.5,GR $D$ desc,Vrel,0.8981,0.675,0.975,0.8166,40
halfb,0.5,GR $D$ desc,CVrel,0.9911,0.95,1.0,0.6941,40
halfb,0.6,GR $D$ desc,V,-0.9717,0.0,0.0,,40
halfb,0.6,GR $D$ desc,CV,-0.0433,0.4,0.4,0.7634,40
halfb,0.6,GR $D$ desc,Vdelta,0.9742,1.0,1.0,0.7965,40
halfb,0.6,GR $D$ desc,Vrel,0.9039,0.7,0.975,0.8163,40
halfb,0.6,GR $D$ desc,CVrel,0.9923,0.95,1.0,0.6807,40
halfb,0.7,GR $D$ desc,V,-0.9718,0.0,0.0,,40
halfb,0.7,GR $D$ desc,CV,-0.0706,0.4,0.4,0.7709,40
halfb,0.7,GR $D$ desc,Vdelta,0.9755,1.0,1.0,0.7965,40
halfb,0.7,GR $D$ desc,Vrel,0.9088,0.7,0.975,0.8166,40
halfb,0.7,GR $D$ desc,CVrel,0.9923,0.95,1.0,0.6792,40
halfb,0.8,GR $D$ desc,V,-0.971,0.0,0.0,,40
halfb,0.8,GR $D$ desc,CV,-0.1008,0.4,0.4,0.7686,40
halfb,0.8,GR $D$ desc,Vdelta,0.9762,1.0,1.0,0.7965,40
halfb,0.8,GR $D$ desc,Vrel,0.9139,0.7,0.975,0.8166,40
halfb,0.8,GR $D$ desc,CVrel,0.9922,0.95,1.0,0.6873,40
halfb,0.9,GR $D$ desc,V,-0.9708,0.025,0.025,0.0119,40
halfb,0.9,GR $D$ desc,CV,-0.1186,0.4,0.4,0.7678,40
halfb,0.9,GR $D$ desc,Vdelta,0.9761,1.0,1.0,0.7965,40
halfb,0.9,GR $D$ desc,Vrel,0.9164,0.7,0.975,0.8166,40
halfb,0.9,GR $D$ desc,CVrel,0.9929,0.95,1.0,0.6808,40
halfb,1.0,GR $D$ desc,V,-0.9706,0.025,0.025,0.0119,40
halfb,1.0,GR $D$ desc,CV,-0.1202,0.4,0.4,0.7663,40
halfb,1.0,GR $D$ desc,Vdelta,0.9765,1.0,1.0,0.7965,40
halfb,1.0,GR $D$ desc,Vrel,0.9194,0.725,0.975,0.8166,40
halfb,1.0,GR $D$ desc,CVrel,0.9932,0.95,1.0,0.6813,40
equidist,0.05,GR $D$ desc,V,-0.9739,0.0,0.0,,40
equidist,0.05,GR $D$ desc,CV,-0.0915,0.425,0.475,0.6853,40
equidist,0.05,GR $D$ desc,Vdelta,0.9723,0.975,0.975,0.8166,40
equidist,0.05,GR $D$ desc,Vrel,0.8506,0.525,0.975,0.8114,40
equidist,0.05,GR $D$ desc,CVrel,0.9802,0.9,1.0,0.6614,40
equidist,0.1,GR $D$ desc,V,-0.9748,0.0,0.0,,40
equidist,0.1,GR $D$ desc,CV,-0.1665,0.4,0.425,0.6791,40
equidist,0.1,GR $D$ desc,Vdelta,0.9722,0.975,0.975,0.8166,40
equidist,0.1,GR $D$ desc,Vrel,0.8682,0.675,0.975,0.8144,40
equidist,0.1,GR $D$ desc,CVrel,0.984,0.9,1.0,0.6767,40
equidist,0.2,GR $D$ desc,V,-0.9725,0.0,0.0,,40
equidist,0.2,GR $D$ desc,CV,-0.0807,0.4,0.45,0.6872,40
equidist,0.2,GR $D$ desc,Vdelta,0.9742,1.0,0.975,0.8166,40
equidist,0.2,GR $D$ desc,Vrel,0.8926,0.725,0.975,0.8142,40
equidist,0.2,GR $D$ desc,CVrel,0.9884,0.975,1.0,0.6715,40
equidist,0.3,GR $D$ desc,V,-0.9724,0.0,0.0,,40
equidist,0.3,GR $D$ desc,CV,-0.0815,0.4,0.425,0.7122,40
equidist,0.3,GR $D$ desc,Vdelta,0.975,1.0,1.0,0.7965,40
equidist,0.3,GR $D$ desc,Vrel,0.9062,0.75,0.975,0.8152,40
equidist,0.3,GR $D$ desc,CVrel,0.9903,0.95,1.0,0.6736,40
equidist,0.4,GR $D$ desc,V,-0.971,0.0,0.0,,40
equidist,0.4,GR $D$ desc,CV,-0.0701,0.425,0.45,0.725,40
equidist,0.4,GR $D$ desc,Vdelta,0.9759,1.0,1.0,0.7965,40
equidist,0.4,GR $D$ desc,Vrel,0.9121,0.7,0.975,0.8166,40
equidist,0.4,GR $D$ desc,CVrel,0.9915,0.95,1.0,0.6735,40
equidist,0.5,GR $D$ desc,V,-0.9702,0.025,0.025,0.0119,40
equidist,0.5,GR $D$ desc,CV,-0.0834,0.425,0.425,0.6573,40
equidist,0.5,GR $D$ desc,Vdelta,0.9763,1.0,1.0,0.7965,40
equidist,0.5,GR $D$ desc,Vrel,0.9142,0.7,1.0,0.7965,40
equidist,0.5,GR $D$ desc,CVrel,0.9922,0.975,1.0,0.6795,40
equidist,0.6,GR $D$ desc,V,-0.9702,0.025,0.025,0.0119,40
equidist,0.6,GR $D$ desc,CV,-0.1185,0.4,0.4,0.7434,40
equidist,0.6,GR $D$ desc,Vdelta,0.976,1.0,1.0,0.7965,40
equidist,0.6,GR $D$ desc,Vrel,0.9193,0.75,1.0,0.7956,40
equidist,0.6,GR $D$ desc,CVrel,0.9921,0.975,1.0,0.6772,40
equidist,0.7,GR $D$ desc,V,-0.9705,0.025,0.025,0.0119,40
equidist,0.7,GR $D$ desc,CV,-0.1376,0.4,0.4,0.7434,40
equidist,0.7,GR $D$ desc,Vdelta,0.9755,1.0,1.0,0.7965,40
equidist,0.7,GR $D$ desc,Vrel,0.9164,0.8,1.0,0.7965,40
equidist,0.7,GR $D$ desc,CVrel,0.9923,0.95,1.0,0.6781,40
equidist,0.8,GR $D$ desc,V,-0.9709,0.025,0.025,0.0119,40
equidist,0.8,GR $D$ desc,CV,-0.1226,0.4,0.4,0.762,40
equidist,0.8,GR $D$ desc,Vdelta,0.9766,1.0,1.0,0.7965,40
equidist,0.8,GR $D$ desc,Vrel,0.9173,0.775,0.975,0.8166,40
equidist,0.8,GR $D$ desc,CVrel,0.9927,0.975,1.0,0.6772,40
equidist,0.9,GR $D$ desc,V,-0.9697,0.025,0.025,0.0119,40
