cond,Lprime,ns_mean,ns_std,sq_mean,sq_std
DW $D$ desc,81,0.61,0.48775,0.525,0.49937
DW $D$ desc,82,0.6225,0.48476,0.54,0.4984
DW $D$ desc,83,0.635,0.48143,0.5325,0.49894
DW $D$ desc,84,0.6225,0.48476,0.54,0.4984
DW $D$ desc,85,0.6275,0.48347,0.5375,0.49859
DW $D$ desc,86,0.63,0.4828,0.5375,0.49859
DW $D$ desc,87,0.6375,0.48072,0.5375,0.49859
DW $D$ desc,88,0.65,0.47697,0.545,0.49797
DW $D$ desc,89,0.665,0.47199,0.5325,0.49894
DW $D$ desc,90,0.6625,0.47286,0.5325,0.49894
DW $D$ desc,91,0.66,0.47371,0.5325,0.49894
DW $D$ desc,92,0.67,0.47021,0.535,0.49877
DW $D$ desc,93,0.67,0.47021,0.54,0.4984
DW $D$ desc,94,0.6675,0.47111,0.5475,0.49774
DW $D$ desc,95,0.67,0.47021,0.5525,0.49724
DW $D$ desc,96,0.665,0.47199,0.55,0.49749
DW $D$ desc,97,0.68,0.46648,0.5375,0.49859
DW $D$ desc,98,0.6925,0.46146,0.545,0.49797
DW $D$ desc,99,0.6975,0.45934,0.54,0.4984
DW $D$ desc,100,0.7,0.45826,0.545,0.49797
DW $D$ desc,101,0.7025,0.45716,0.5475,0.49774
DW $D$ desc,102,0.715,0.45141,0.55,0.49749
DW $D$ desc,103,0.715,0.45141,0.5625,0.49608
DW $D$ desc,104,0.715,0.45141,0.5675,0.49542
DW $D$ desc,105,0.72,0.449,0.58,0.49356
DW $D$ desc,106,0.72,0.449,0.5825,0.49315
DW $D$ desc,107,0.725,0.44651,0.5725,0.49472
DW $D$ desc,108,0.7125,0.4526,0.5775,0.49396
DW $D$ desc,109,0.715,0.45141,0.575,0.49434
DW $D$ desc,110,0.7275,0.44525,0.5725,0.49472
DW $D$ desc,111,0.73,0.44396,0.575,0.49434
DW $D$ desc,112,0.7275,0.44525,0.5725,0.49472
DW $D$ desc,113,0.7275,0.44525,0.5675,0.49542
DW $D$ desc,114,0.7275,0.44525,0.565,0.49576
DW $D$ desc,115,0.7275,0.44525,0.5725,0.49472
DW $D$ desc,116,0.7375,0.43999,0.58,0.49356
DW $D$ desc,117,0.7325,0.44266,0.5675,0.49542
DW $D$ desc,118,0.7325,0.44266,0.575,0.49434
DW $D$ desc,119,0.735,0.44133,0.5825,0.49315
DW $D$ desc,120,0.7375,0.43999,0.595,0.49089
DW $D$ desc,121,0.7375,0.43999,0.5975,0.4904
DW $D$ desc,122,0.735,0.44133,0.6025,0.48938
DW $D$ desc,123,0.7425,0.43726,0.5925,0.49137
DW $D$ desc,124,0.745,0.43586,0.6025,0.48938
DW $D$ desc,125,0.7525,0.43156,0.6,0.4899
DW $D$ desc,126,0.7575,0.4286,0.605,0.48885
DW $D$ desc,127,0.76,0.42708,0.605,0.48885
DW $D$ desc,128,0.76,0.42708,0.605,0.48885
DW $D$ desc,129,0.755,0.43009,0.615,0.4866
DW $D$ desc,130,0.765,0.424,0.6075,0.48831
DW $D$ desc,131,0.765,0.424,0.61,0.48775
DW $D$ desc,132,0.77,0.42083,0.6175,0.486
DW $D$ desc,133,0.7725,0.41922,0.615,0.4866
DW $D$ desc,134,0.7775,0.41593,0.61,0.48775
DW $D$ desc,135,0.7725,0.41922,0.61,0.48775
DW $D$ desc,136,0.7775,0.41593,0.6225,0.48476
DW $D$ desc,137,0.7675,0.42243,0.6175,0.486
DW $D$ desc,138,0.7775,0.41593,0.6075,0.48831
DW $D$ desc,139,0.7725,0.41922,0.61,0.48775
DW $D$ desc,140,0.78,0.41425,0.6175,0.486
DW $D$ desc,141,0.7675,0.42243,0.61,0.48775
DW $D$ desc,142,0.7775,0.41593,0.6175,0.486
DW $D$ desc,143,0.7725,0.41922,0.615,0.4866
DW $D$ desc,144,0.78,0.41425,0.62,0.48539
DW $D$ desc,145,0.7725,0.41922,0.62,0.48539
DW $D$ desc,146,0.7825,0.41255,0.6225,0.48476
DW $D$ desc,147,0.775,0.41758,0.615,0.4866
DW $D$ desc,148,0.78,0.41425,0.6125,0.48718
DW $D$ desc,149,0.785,0.41082,0.6175,0.486
DW $D$ desc,150,0.7825,0.41255,0.61,0.48775
DW $D$ desc,151,0.795,0.4037,0.625,0.48412
DW $D$ desc,152,0.79,0.40731,0.6375,0.48072
DW $D$ desc,153,0.7925,0.40552,0.6375,0.48072
DW $D$ desc,154,0.7875,0.40908,0.6425,0.47926
DW $D$ desc,155,0.7925,0.40552,0.635,0.48143
DW $D$ desc,156,0.7975,0.40186,0.6425,0.47926
DW $D$ desc,157,0.8025,0.39811,0.635,0.48143
DW $D$ desc,158,0.8,0.4,0.6325,0.48212
DW $D$ desc,159,0.8125,0.39031,0.635,0.48143
DW $D$ desc,160,0.8125,0.39031,0.64,0.48
DW $D$ desc,161,0.805,0.3962,0.6325,0.48212
DW $D$ desc,162,0.7975,0.40186,0.6425,0.47926
DW $D$ desc,163,0.7975,0.40186,0.6475,0.47775
DW $D$ desc,164,0.795,0.4037,0.645,0.47851
DW $D$ desc,165,0.8,0.4,0.6475,0.47775
DW $D$ desc,166,0.8,0.4,0.65,0.47697
DW $D$ desc,167,0.8,0.4,0.65,0.47697
DW $D$ desc,168,0.8075,0.39426,0.6575,0.47455
DW $D$ desc,169,0.8175,0.38626,0.6475,0.47775
DW $D$ desc,170,0.8175,0.38626,0.6475,0.47775
DW $D$ desc,171,0.815,0.3883,0.6575,0.47455
DW $D$ desc,172,0.8175,0.38626,0.655,0.47537
DW $D$ desc,173,0.825,0.37997,0.67,0.47021
DW $D$ desc,174,0.8225,0.38209,0.66,0.47371
DW $D$ desc,175,0.8275,0.37781,0.6675,0.47111
DW $D$ desc,176,0.81,0.3923,0.6725,0.4693
DW $D$ desc,177,0.8225,0.38209,0.67,0.47021
DW $D$ desc,178,0.8275,0.37781,0.675,0.46837
DW $D$ desc,179,0.8225,0.38209,0.6725,0.4693
DW $D$ desc,180,0.825,0.37997,0.67,0.47021
DW $D$ desc,181,0.815,0.3883,0.67,0.47021
DW $D$ desc,182,0.815,0.3883,0.675,0.46837
DW $D$ desc,183,0.8225,0.38209,0.68,0.46648
DW $D$ desc,184,0.8225,0.38209,0.675,0.46837
DW $D$ desc,185,0.81,0.3923,0.685,0.46452
DW $D$ desc,186,0.8275,0.37781,0.68,0.46648
DW $D$ desc,187,0.82,0.38419,0.6775,0.46743
DW $D$ desc,188,0.8275,0.37781,0.685,0.46452
DW $D$ desc,189,0.82,0.38419,0.69,0.46249
DW $D$ desc,190,0.83,0.37563,0.69,0.46249
DW $D$ desc,191,0.8375,0.36891,0.69,0.46249
DW $D$ desc,192,0.84,0.36661,0.6925,0.46146
DW $D$ desc,193,0.8375,0.36891,0.6825,0.4655
DW $D$ desc,194,0.845,0.3619,0.7,0.45826
DW $D$ desc,195,0.84,0.36661,0.6975,0.45934
DW $D$ desc,196,0.8475,0.3595,0.695,0.46041
DW $D$ desc,197,0.84,0.36661,0.7,0.45826
DW $D$ desc,198,0.83,0.37563,0.71,0.45376
DW $D$ desc,199,0.8375,0.36891,0.715,0.45141
DW $D$ desc,200,0.85,0.35707,0.7175,0.45022
DW $u$ asc,2,0.005,0.07053,0.05,0.21794
DW $u$ asc,3,0.0175,0.13112,0.0425,0.20173
DW $u$ asc,4,0.025,0.15612,0.0525,0.22303
DW $u$ asc,5,0.045,0.2073,0.04,0.19596
DW $u$ asc,6,0.0425,0.20173,0.0425,0.20173
DW $u$ asc,7,0.06,0.23749,0.05,0.21794
DW $u$ asc,8,0.0675,0.25089,0.06,0.23749
DW $u$ asc,9,0.085,0.27888,0.07,0.25515
DW $u$ asc,10,0.0925,0.28973,0.06,0.23749
DW $u$ asc,11,0.105,0.30655,0.08,0.27129
DW $u$ asc,12,0.1025,0.3033,0.105,0.30655
DW $u$ asc,13,0.12,0.32496,0.11,0.31289
DW $u$ asc,14,0.1275,0.33353,0.095,0.29321
