cond,Lprime,mean,std
DW $u$ desc,35,0.49179,0.13766
DW $u$ desc,36,0.4956,0.13907
DW $u$ desc,37,0.49949,0.13962
DW $u$ desc,38,0.5043,0.14053
DW $u$ desc,39,0.50817,0.13978
DW $u$ desc,40,0.51184,0.13974
DW $u$ desc,41,0.51494,0.13999
DW $u$ desc,42,0.51868,0.14023
DW $u$ desc,43,0.52176,0.13992
DW $u$ desc,44,0.52579,0.1404
DW $u$ desc,45,0.52876,0.14145
DW $u$ desc,46,0.53204,0.14126
DW $u$ desc,47,0.53513,0.14138
DW $u$ desc,48,0.53787,0.14126
DW $u$ desc,49,0.54128,0.14148
DW $u$ desc,50,0.54388,0.14168
DW $u$ desc,51,0.54693,0.14187
DW $u$ desc,52,0.55034,0.14193
DW $u$ desc,53,0.55309,0.14159
DW $u$ desc,54,0.55566,0.14139
DW $u$ desc,55,0.55871,0.14045
DW $u$ desc,56,0.56051,0.14033
DW $u$ desc,57,0.56261,0.1402
DW $u$ desc,58,0.56632,0.13926
DW $u$ desc,59,0.56959,0.13957
DW $u$ desc,60,0.57194,0.13939
DW $u$ desc,61,0.5746,0.13907
DW $u$ desc,62,0.57687,0.1382
DW $u$ desc,63,0.5792,0.13825
DW $u$ desc,64,0.58121,0.13873
DW $u$ desc,65,0.58296,0.13934
DW $u$ desc,66,0.58513,0.13891
DW $u$ desc,67,0.58748,0.139
DW $u$ desc,68,0.58936,0.13867
